,0
539,(100.00000000000014+0j)
540,(100.00000000000014+0j)
541,(100.00000000000014+0j)
542,(100.00000000000014+0j)
543,(100.00000000000014+0j)
544,(100.00000000000014+0j)
545,(100.00000000000014+0j)
546,(100.00000000000014+0j)
547,(100.00000000000014+0j)
548,(100.00000000000014+0j)
549,(100.00000000000014+0j)
550,(100.00000000000014+0j)
551,(100.00000000000014+0j)
552,(100.00000000000014+0j)
553,(100.00000000000014+0j)
554,(100.00000000000014+0j)
555,(100.00000000000014+0j)
556,(100.00000000000014+0j)
557,(100.00000000000014+0j)
558,(100.00000000000014+0j)
559,(100.00000000000014+0j)
560,(100.00000000000014+0j)
561,(100.00000000000014+0j)
562,(100.00000000000014+0j)
563,(100.00000000000014+0j)
564,(100.00000000000014+0j)
565,(100.00000000000014+0j)
566,(100.00000000000014+0j)
567,(100.00000000000014+0j)
568,(100.00000000000014+0j)
569,(100.00000000000014+0j)
570,(100.00000000000014+0j)
571,(100.00000000000014+0j)
572,(100.00000000000014+0j)
573,(100.00000000000014+0j)
574,(100.00000000000014+0j)
575,(100.00000000000014+0j)
576,(100.00000000000014+0j)
577,(100.00000000000014+0j)
578,(100.00000000000014+0j)
579,(100.00000000000014+0j)
580,(100.00000000000014+0j)
581,(100.00000000000014+0j)
582,(100.00000000000014+0j)
583,(100.00000000000014+0j)
584,(100.00000000000014+0j)
585,(100.00000000000014+0j)
586,(100.00000000000014+0j)
587,(100.00000000000014+0j)
588,(100.00000000000014+0j)
589,(100.00000000000014+0j)
590,(100.00000000000014+0j)
